Gene	Transcript	Num_HC_uORFs	Num_HC_oORFs	Possible_uAUG_creating_SNVs	Possible_stop_removing_SNVs	HC_uAUG_creating_SNVs	HC_stop_removing_SNVs	LOEUF	ClinGen_haplo_score	ClinVar_HC_pathogenic_LoFs	Gene_class	Gene_likelihood
CFHR5	ENST00000256785	1	0	6	0	0	0	1.8290e+00	NA	0	2	Low
OR2K2	ENST00000302681	0	0	0	0	0	0	1.5410e+00	NA	0	0	Unknown
BRIX1	ENST00000336767	0	0	35	0	9	0	4.4500e-01	NA	0	6	Moderate
LMAN1	ENST00000251047	1	0	87	21	24	0	5.4600e-01	30	0	6	Moderate
CHD8	ENST00000399982	0	0	3	0	2	0	8.2000e-02	3	2	8	High
SUMO1	ENST00000392246	0	0	26	0	5	0	4.6300e-01	NA	0	6	Moderate
GP1BA	ENST00000329125	0	0	12	0	5	0	1.6600e+00	NA	0	4	Low
UQCR11	ENST00000591899	0	0	8	0	6	0	1.9350e+00	NA	0	5	Low
DDB1	ENST00000301764	1	0	37	3	10	3	2.4300e-01	NA	0	7	High
MYO9B	ENST00000595618	0	1	10	0	6	0	1.7700e-01	NA	0	3	Low
MMP7	ENST00000260227	0	0	8	0	4	0	1.5230e+00	NA	0	6	Moderate
CRNKL1	ENST00000377340	0	0	3	0	3	0	5.4600e-01	NA	0	6	Moderate
XAB2	ENST00000358368	0	0	3	0	2	0	3.0900e-01	NA	0	7	High
RTN1	ENST00000267484	0	0	35	0	6	0	2.9700e-01	NA	0	7	High
KLHL14	ENST00000359358	3	0	57	21	4	0	4.9500e-01	NA	0	6	Moderate
TBX10	ENST00000335385	0	0	8	0	6	0	1.3620e+00	NA	0	6	Moderate
ZBTB12	ENST00000375527	0	0	18	0	4	0	3.1900e-01	NA	0	7	High
UTY	ENST00000331397	7	0	0	0	0	0	3.2500e-01	NA	0	1	Unknown
CENPQ	ENST00000335783	0	0	15	5	6	0	1.3490e+00	NA	0	6	Moderate
ZAR1L	ENST00000533490	3	0	71	32	0	8	6.8800e-01	NA	0	6	Moderate
DTNBP1	ENST00000344537	0	0	16	0	7	0	9.8400e-01	NA	0	6	Moderate
KBTBD8	ENST00000417314	1	0	4	5	4	5	8.2500e-01	NA	0	6	Moderate
ZEB1	ENST00000361642	0	0	10	0	4	0	3.1700e-01	NA	0	7	High
ZG16	ENST00000400752	0	0	12	0	3	0	6.4700e-01	NA	0	6	Moderate
FAT4	ENST00000394329	0	0	1	0	1	0	1.8400e-01	NA	0	8	High
MIER1	ENST00000401041	0	0	9	0	4	0	4.1900e-01	NA	0	6	Moderate
CHD9	ENST00000566029	2	0	33	26	5	0	1.7000e-01	NA	0	7	High
STK16	ENST00000409638	2	1	15	16	4	0	9.1500e-01	NA	0	3	Low
ARID3C	ENST00000378909	0	0	9	0	7	0	1.4020e+00	NA	0	6	Moderate
TOB2	ENST00000327492	0	0	94	0	11	0	4.2300e-01	NA	0	6	Moderate
INIP	ENST00000374242	0	0	51	0	7	0	1.2570e+00	NA	0	6	Moderate
BANK1	ENST00000322953	1	1	25	5	9	0	8.2900e-01	NA	0	3	Low
OR2V2	ENST00000328275	0	0	0	0	0	0	1.3950e+00	NA	0	0	Unknown
SFTA2	ENST00000359086	0	0	10	0	5	0	1.7920e+00	NA	0	5	Low
GRM2	ENST00000395052	0	0	18	0	5	0	4.8500e-01	NA	0	6	Moderate
PROSC	ENST00000328195	1	0	6	8	4	8	6.9600e-01	NA	0	6	Moderate
SPIN2B	ENST00000333933	0	0	38	7	7	7	1.6050e+00	NA	0	5	Low
PIR	ENST00000380421	0	0	43	0	1	0	1.7990e+00	NA	0	5	Low
IPO9	ENST00000361565	0	0	5	0	3	0	2.3000e-01	NA	0	7	High
EVC	ENST00000382674	0	1	17	0	8	0	1.0640e+00	NA	0	3	Low
CXCL13	ENST00000286758	1	0	7	8	4	8	5.1900e-01	NA	0	6	Moderate
RP11-201K10.3	ENST00000473363	0	0	0	0	0	0	1.4420e+00	NA	0	0	Unknown
KIAA1199	ENST00000394685	1	0	48	16	12	0	7.2800e-01	NA	0	6	Moderate
SORL1	ENST00000260197	0	0	6	0	2	0	4.3600e-01	NA	0	6	Moderate
NAT10	ENST00000257829	0	0	26	0	7	0	9.1100e-01	NA	0	6	Moderate
CHD1	ENST00000284049	0	0	31	0	4	0	1.6200e-01	NA	0	7	High
SYN3	ENST00000358763	0	0	28	0	6	0	5.8700e-01	NA	0	6	Moderate
SLC22A2	ENST00000366953	1	0	43	5	5	5	1.1540e+00	NA	0	6	Moderate
SERPINF1	ENST00000254722	0	0	31	0	10	0	1.2140e+00	30	0	6	Moderate
WDR34	ENST00000372715	0	0	6	0	1	0	9.9300e-01	NA	0	6	Moderate
OR7A17	ENST00000327462	0	0	13	5	1	0	1.8620e+00	NA	0	5	Low
SUGCT	ENST00000309930	0	0	1	0	0	0	1.0320e+00	NA	0	2	Low
POTED	ENST00000299443	0	0	0	0	0	0	1.7980e+00	NA	0	1	Unknown
EPT1	ENST00000260585	0	0	0	0	0	0	4.4100e-01	NA	0	1	Unknown
LHB	ENST00000221421	0	0	0	0	0	0	1.7640e+00	NA	0	0	Unknown
TAOK3	ENST00000392533	1	0	68	16	6	0	2.4100e-01	NA	0	7	High
STK25	ENST00000316586	1	0	25	8	6	8	5.3300e-01	NA	0	6	Moderate
OR10X1	ENST00000368150	0	0	0	0	0	0	1.8470e+00	NA	0	0	Unknown
CDC25B	ENST00000245960	4	0	77	31	12	5	4.2500e-01	NA	0	6	Moderate
BMP3	ENST00000282701	0	0	27	0	12	0	6.5400e-01	NA	0	6	Moderate
TMEM180	ENST00000238936	1	0	37	5	6	5	5.8900e-01	NA	0	6	Moderate
MAP1LC3C	ENST00000357246	0	0	4	0	0	0	1.9050e+00	NA	0	2	Low
CRYGC	ENST00000282141	0	0	4	0	2	0	1.3110e+00	0	0	8	High
RP11-47I22.3	ENST00000556569	0	0	13	8	3	0	1.7240e+00	NA	0	5	Low
RP11-664I21.6	ENST00000524433	1	0	2	0	1	0	1.6950e+00	NA	0	5	Low
POU3F1	ENST00000373012	0	0	1	0	1	0	7.0500e-01	NA	0	6	Moderate
HIGD1B	ENST00000253410	3	0	34	18	10	0	1.8910e+00	NA	0	5	Low
USP6NL	ENST00000277575	1	0	8	5	2	5	4.2000e-01	NA	0	6	Moderate
ABCD4	ENST00000356924	0	0	8	0	2	0	8.9800e-01	NA	0	6	Moderate
TEK	ENST00000380036	4	1	59	42	10	8	1.7900e-01	NA	0	3	Low
SLC25A46	ENST00000355943	0	0	19	0	10	0	9.0600e-01	NA	0	6	Moderate
LARP7	ENST00000509061	2	0	48	21	17	0	8.4200e-01	NA	0	8	High
CD160	ENST00000235933	0	0	16	0	5	0	1.5130e+00	NA	0	6	Moderate
NUTM2G	ENST00000372322	0	0	3	0	2	0	1.2710e+00	NA	0	6	Moderate
PHF20	ENST00000374012	0	0	16	0	7	0	2.6100e-01	NA	0	7	High
CPNE4	ENST00000512055	18	0	272	120	8	5	4.7300e-01	NA	0	6	Moderate
GTPBP1	ENST00000216044	0	0	41	5	1	0	3.5100e-01	NA	0	7	High
RAB33B	ENST00000305626	0	0	47	0	18	0	5.9700e-01	NA	0	6	Moderate
ALDOC	ENST00000226253	3	1	64	18	14	13	6.0100e-01	NA	0	3	Low
ZNF212	ENST00000335870	0	1	14	0	8	0	9.9200e-01	NA	0	3	Low
NUDT1	ENST00000397049	0	0	15	5	8	5	1.9420e+00	NA	0	5	Low
RFPL2	ENST00000400237	0	1	143	24	4	0	1.8510e+00	NA	0	3	Low
ZNF83	ENST00000597597	19	0	294	174	4	16	NA	NA	0	6	Moderate
AC112721.1	ENST00000409162	0	1	20	0	6	0	1.8850e+00	NA	0	3	Low
GDPD5	ENST00000336898	2	0	80	16	18	16	6.0200e-01	NA	0	6	Moderate
PDCD4	ENST00000280154	0	0	32	0	4	0	9.2800e-01	NA	0	6	Moderate
CEP350	ENST00000367607	1	1	35	8	7	8	1.8400e-01	NA	0	3	Low
ARL14EPL	ENST00000601302	0	0	0	0	0	0	1.2300e+00	NA	0	0	Unknown
OR10A2	ENST00000307322	0	0	9	0	2	0	1.6720e+00	NA	0	4	Low
CST7	ENST00000480798	0	0	33	0	8	0	1.9230e+00	NA	0	5	Low
SELL	ENST00000236147	2	0	28	16	5	0	1.0100e+00	NA	0	6	Moderate
CIAO1	ENST00000488633	1	0	20	7	5	7	7.6100e-01	NA	0	6	Moderate
RNF223	ENST00000453464	0	0	38	0	9	0	1.8670e+00	NA	0	5	Low
OR8J3	ENST00000301529	0	0	0	0	0	0	1.9240e+00	NA	0	0	Unknown
LTBP4	ENST00000308370	0	0	0	0	0	0	3.2700e-01	NA	0	0	Unknown
DCAF4L1	ENST00000333141	0	0	17	0	14	0	1.1240e+00	NA	0	4	Low
OR6C1	ENST00000379668	0	0	7	0	4	0	7.7700e-01	NA	0	6	Moderate
SIRT6	ENST00000337491	0	0	6	0	4	0	6.9800e-01	NA	0	6	Moderate
CCL19	ENST00000311925	0	0	13	0	6	0	1.1270e+00	NA	0	6	Moderate
PPIL1	ENST00000373699	0	0	31	8	3	0	8.1200e-01	NA	0	6	Moderate
GBP7	ENST00000294671	0	0	21	0	8	0	1.1770e+00	NA	0	6	Moderate
STK17A	ENST00000319357	0	0	16	0	4	0	6.0600e-01	NA	0	6	Moderate
OR9G1	ENST00000312153	0	0	0	0	0	0	1.7830e+00	NA	0	0	Unknown
ABR	ENST00000302538	1	0	6	8	1	8	3.6100e-01	0	0	7	High
PCDHA13	ENST00000289272	0	0	0	0	0	0	1.1560e+00	NA	0	0	Unknown
FOXE1	ENST00000375123	1	0	49	5	14	0	5.7600e-01	30	0	6	Moderate
SIAH3	ENST00000400405	0	0	11	0	7	0	1.5870e+00	NA	0	5	Low
RIMBP3B	ENST00000434111	2	0	0	0	0	0	1.6710e+00	NA	0	1	Unknown
GML	ENST00000220940	0	1	12	0	4	0	1.4650e+00	NA	0	3	Low
CNGA3	ENST00000393504	1	0	45	24	14	8	1.4860e+00	NA	0	6	Moderate
CD38	ENST00000226279	0	0	16	0	7	0	1.1260e+00	NA	0	6	Moderate
ZDHHC6	ENST00000369405	3	3	64	29	7	8	7.7900e-01	NA	0	3	Low
NEFH	ENST00000310624	0	0	2	0	0	0	1.0640e+00	NA	0	2	Low
PGBD5	ENST00000525115	0	0	2	0	1	0	7.0800e-01	NA	0	6	Moderate
CTDSP2	ENST00000398073	1	0	21	16	6	0	6.6700e-01	NA	0	6	Moderate
ZNF257	ENST00000594947	0	0	20	0	4	0	1.5100e+00	NA	0	6	Moderate
RMND5B	ENST00000515098	2	1	24	16	1	8	1.2900e+00	NA	0	3	Low
CCNY	ENST00000374704	0	0	8	0	5	0	4.1700e-01	NA	0	6	Moderate
EXOSC7	ENST00000265564	0	0	4	0	4	0	1.0920e+00	NA	0	6	Moderate
C11orf88	ENST00000332814	0	0	0	0	0	0	1.1580e+00	NA	0	0	Unknown
ROR2	ENST00000375708	0	0	28	0	8	0	5.5800e-01	0	0	8	High
MAOA	ENST00000338702	0	0	16	0	8	0	1.4300e-01	1	0	8	High
TNNT3	ENST00000278317	1	0	22	13	8	0	9.7500e-01	NA	0	6	Moderate
GYPC	ENST00000259254	0	1	38	0	10	0	1.2050e+00	NA	0	3	Low
C7orf33	ENST00000307003	3	0	60	21	9	0	1.8030e+00	NA	0	5	Low
RNF4	ENST00000511600	13	0	229	113	6	0	4.9000e-01	NA	0	6	Moderate
EMC1	ENST00000477853	0	0	5	0	5	0	1.0090e+00	NA	0	4	Low
F8A1	ENST00000369446	0	0	0	0	0	0	NA	NA	0	1	Unknown
HDAC7	ENST00000080059	0	0	0	0	0	0	2.3900e-01	NA	0	0	Unknown
PLEKHG4	ENST00000360461	13	0	328	124	8	8	7.6600e-01	NA	0	6	Moderate
GRB2	ENST00000392562	0	0	100	13	3	5	3.5700e-01	NA	0	7	High
HIST1H2AD	ENST00000341023	0	0	0	0	0	0	1.9470e+00	NA	0	0	Unknown
DUS3L	ENST00000309061	0	2	9	8	7	0	9.4300e-01	NA	0	3	Low
EIF1	ENST00000469257	0	0	12	0	4	0	5.1100e-01	NA	0	6	Moderate
FPGT	ENST00000609362	0	0	0	0	0	0	1.2810e+00	NA	0	1	Unknown
CHST15	ENST00000346248	7	0	84	50	6	13	8.0300e-01	NA	0	6	Moderate
RASA4B	ENST00000541662	0	0	0	0	0	0	1.4520e+00	NA	0	0	Unknown
GPN2	ENST00000374135	0	0	22	0	3	0	8.5200e-01	NA	0	6	Moderate
GDF10	ENST00000224605	0	0	19	0	7	0	8.4000e-01	NA	0	6	Moderate
COQ9	ENST00000262507	0	0	2	0	1	0	1.0110e+00	NA	0	8	High
TRAPPC9	ENST00000389328	0	0	1	0	1	0	7.3300e-01	30	0	8	High
GCC2	ENST00000309863	3	0	74	42	5	8	4.1400e-01	NA	0	6	Moderate
RARRES3	ENST00000255688	0	0	5	0	4	0	1.9220e+00	NA	0	5	Low
PLXNA1	ENST00000393409	0	0	0	0	0	0	2.6200e-01	NA	0	0	Unknown
KIAA0100	ENST00000528896	0	1	4	5	2	5	4.2100e-01	NA	0	3	Low
PMF1	ENST00000567140	0	0	0	0	0	0	1.4390e+00	NA	0	1	Unknown
FNDC1	ENST00000297267	0	0	11	0	7	0	5.8900e-01	NA	0	6	Moderate
HS2ST1	ENST00000370550	1	0	38	8	6	8	4.6500e-01	NA	0	6	Moderate
CRELD2	ENST00000404488	0	0	10	0	7	0	1.0510e+00	NA	0	6	Moderate
CD82	ENST00000227155	0	0	17	0	2	0	1.2550e+00	NA	0	6	Moderate
C8G	ENST00000224181	0	0	7	0	6	0	1.9290e+00	NA	0	5	Low
SPINK14	ENST00000356972	0	0	0	0	0	0	1.3940e+00	NA	0	0	Unknown
PIRT	ENST00000580256	4	0	90	48	5	8	1.0850e+00	NA	0	6	Moderate
LIM2	ENST00000221973	0	0	6	0	5	0	1.2800e+00	NA	0	6	Moderate
MMP16	ENST00000286614	1	0	38	8	7	0	3.5000e-01	NA	0	7	High
AC093157.1	ENST00000593496	5	0	30	18	0	0	1.6870e+00	NA	0	2	Low
DRD3	ENST00000383673	4	1	58	26	8	3	8.0700e-01	NA	0	3	Low
PTP4A2	ENST00000344035	1	0	130	42	6	0	2.8400e-01	NA	0	7	High
OR4M2	ENST00000332663	2	0	14	20	3	8	1.9580e+00	NA	0	5	Low
C11orf73	ENST00000278483	1	0	27	8	5	8	5.9100e-01	NA	0	6	Moderate
HPCA	ENST00000373467	0	0	7	0	3	0	5.9400e-01	NA	0	6	Moderate
SEC14L1	ENST00000392476	4	0	81	26	10	0	3.7700e-01	NA	0	6	Moderate
METTL25	ENST00000248306	0	1	7	0	4	0	1.0500e+00	NA	0	3	Low
NME8	ENST00000199447	3	0	51	21	1	0	1.3390e+00	NA	0	6	Moderate
EMILIN1	ENST00000380320	1	0	73	8	10	8	5.1200e-01	NA	0	6	Moderate
CHFR	ENST00000432561	1	1	3	8	1	8	5.5000e-01	NA	0	3	Low
NDUFS4	ENST00000296684	0	0	4	0	1	0	1.1570e+00	30	0	8	High
CTD-2116N17.1	ENST00000606793	10	3	64	73	5	8	4.9400e-01	NA	0	3	Low
COL18A1	ENST00000355480	0	0	1	0	1	0	5.3500e-01	NA	0	8	High
PDZD3	ENST00000355547	0	0	3	0	1	0	1.2660e+00	NA	0	6	Moderate
PRAMEF7	ENST00000361079	0	0	8	0	3	0	1.8420e+00	NA	0	5	Low
FAXC	ENST00000389677	0	0	13	0	5	0	3.6000e-01	NA	0	7	High
C9orf16	ENST00000372994	0	0	9	0	5	0	1.9160e+00	NA	0	5	Low
ERBB2IP	ENST00000506030	1	0	15	5	4	5	2.8500e-01	NA	0	4	Low
FUS	ENST00000254108	0	0	14	0	4	0	2.3700e-01	NA	0	7	High
EMX2	ENST00000553456	1	0	71	21	22	8	3.1600e-01	2	0	7	High
TF	ENST00000402696	2	0	57	10	22	5	7.5300e-01	NA	0	6	Moderate
CXorf56	ENST00000371594	0	0	10	0	7	0	3.1300e-01	NA	0	7	High
CLCN4	ENST00000380833	4	0	47	29	2	21	1.5100e-01	2	0	7	High
C11orf72	ENST00000333139	0	0	26	16	8	0	NA	NA	0	6	Moderate
NPR1	ENST00000368680	1	0	38	16	2	16	4.8300e-01	NA	0	6	Moderate
ELAC2	ENST00000338034	2	0	30	24	8	0	1.0460e+00	NA	0	6	Moderate
CELA1	ENST00000293636	0	0	6	0	5	0	9.8000e-01	NA	0	6	Moderate
ASS1	ENST00000372394	2	2	71	24	17	8	9.8400e-01	NA	4	3	Low
USP42	ENST00000306177	0	2	13	0	6	0	1.3300e-01	NA	0	3	Low
EMC8	ENST00000253457	0	0	17	0	7	0	4.4500e-01	NA	0	6	Moderate
SEC23IP	ENST00000369075	0	0	10	0	10	0	5.1400e-01	NA	0	6	Moderate
POLR2J	ENST00000292614	0	0	4	0	3	0	1.3650e+00	NA	0	6	Moderate
UQCRC1	ENST00000203407	2	0	46	16	11	16	5.4600e-01	NA	0	6	Moderate
ERVV-2	ENST00000601417	1	0	82	16	5	0	NA	NA	0	6	Moderate
POLG	ENST00000268124	1	0	45	5	14	5	5.5500e-01	NA	2	7	High
ADAM23	ENST00000264377	1	1	20	8	1	8	2.7500e-01	NA	0	3	Low
TFR2	ENST00000462107	0	0	48	0	19	0	7.6700e-01	30	0	6	Moderate
RICTOR	ENST00000357387	0	0	4	0	1	0	1.5500e-01	NA	0	7	High
GRXCR2	ENST00000377976	0	0	0	0	0	0	1.5690e+00	NA	0	0	Unknown
IDO2	ENST00000502986	4	1	31	26	3	8	1.2500e+00	NA	0	3	Low
C19orf55	ENST00000544099	0	0	7	0	4	0	1.1650e+00	NA	0	6	Moderate
SNAPC1	ENST00000216294	0	0	9	0	4	0	1.5270e+00	NA	0	6	Moderate
GNA11	ENST00000078429	0	0	13	0	8	0	3.9500e-01	NA	0	6	Moderate
RP11-324D17.1	ENST00000561084	0	0	0	0	0	0	1.9330e+00	NA	0	1	Unknown
FSIP1	ENST00000350221	0	0	27	0	7	0	1.2520e+00	NA	0	6	Moderate
CELA3A	ENST00000290122	0	0	2	0	1	0	1.3010e+00	NA	0	6	Moderate
UPF3A	ENST00000375299	0	0	4	0	3	0	9.4400e-01	NA	0	6	Moderate
IGSF11	ENST00000393775	0	0	33	0	12	0	7.8500e-01	NA	0	6	Moderate
LAGE3	ENST00000357360	0	0	37	0	15	0	1.8060e+00	NA	0	5	Low
CHST6	ENST00000332272	1	0	22	8	7	8	1.8230e+00	30	0	5	Low
UNC13B	ENST00000378495	1	0	21	8	7	8	5.8600e-01	NA	0	6	Moderate
TTLL4	ENST00000392102	1	3	53	8	4	8	6.9600e-01	NA	0	3	Low
ZNF687	ENST00000324048	9	1	123	77	5	0	3.1900e-01	NA	0	3	Low
DNAH17-AS1	ENST00000598378	7	1	145	57	19	16	1.9060e+00	NA	0	3	Low
SDC2	ENST00000302190	0	0	109	0	29	0	6.7200e-01	NA	0	6	Moderate
METTL21A	ENST00000411432	1	0	23	5	13	0	1.3630e+00	NA	0	6	Moderate
COX7A2	ENST00000370081	3	0	50	18	3	0	1.5420e+00	NA	0	6	Moderate
LAMB4	ENST00000388781	0	0	13	3	2	0	1.0080e+00	NA	0	6	Moderate
FAM24A	ENST00000368894	1	0	16	14	0	6	1.9320e+00	NA	0	4	Low
PDP1	ENST00000396200	0	0	32	0	20	0	4.9000e-01	30	0	6	Moderate
LRRTM3	ENST00000361320	6	0	88	60	3	5	3.1200e-01	NA	0	7	High
AHCYL2	ENST00000325006	0	0	8	0	6	0	2.9000e-01	NA	0	7	High
OR4C13	ENST00000555099	1	0	5	5	2	0	1.9750e+00	NA	0	5	Low
IZUMO2	ENST00000293405	0	0	0	0	0	0	1.1560e+00	NA	0	1	Unknown
TRIM64C	ENST00000530230	0	0	0	0	0	0	1.5130e+00	NA	0	0	Unknown
HABP4	ENST00000375249	0	0	6	0	5	0	6.9700e-01	NA	0	6	Moderate
TMEM125	ENST00000432792	5	0	85	48	2	0	1.9650e+00	NA	0	5	Low
CNTN2	ENST00000331830	0	0	20	0	6	0	4.3700e-01	30	0	6	Moderate
ASNSD1	ENST00000260952	1	0	20	26	2	0	1.4700e+00	NA	0	6	Moderate
FUT4	ENST00000358752	1	0	30	8	6	8	1.1370e+00	NA	0	6	Moderate
RP9	ENST00000297157	0	0	2	0	2	0	8.0300e-01	NA	0	6	Moderate
ARAP1	ENST00000393609	1	0	23	8	12	8	3.5300e-01	NA	0	7	High
CDH8	ENST00000577390	4	0	115	58	7	5	2.9500e-01	NA	0	7	High
AGPS	ENST00000264167	2	1	9	16	2	8	1.1700e-01	NA	0	3	Low
UNG	ENST00000242576	0	0	7	0	2	0	8.5000e-01	NA	0	6	Moderate
Z97053.1	ENST00000597250	0	0	0	0	0	0	NA	NA	0	0	Unknown
GSTP1	ENST00000398606	0	0	19	0	6	0	8.5300e-01	NA	0	6	Moderate
DCUN1D5	ENST00000260247	0	0	40	0	20	0	1.9400e-01	NA	0	7	High
SLC9A3R1	ENST00000262613	0	0	20	0	10	0	1.1570e+00	NA	0	6	Moderate
FAM218A	ENST00000513876	0	1	9	0	7	0	NA	NA	0	3	Low
LILRA6	ENST00000396365	0	0	4	0	3	0	9.1100e-01	NA	0	6	Moderate
CHMP7	ENST00000397677	3	0	99	37	21	8	3.8000e-01	NA	0	6	Moderate
REM2	ENST00000267396	0	0	25	0	13	0	1.3040e+00	NA	0	6	Moderate
DNHD1	ENST00000254579	0	1	79	16	5	0	8.0700e-01	NA	0	3	Low
FKBP4	ENST00000001008	0	0	11	0	2	0	5.0400e-01	NA	0	6	Moderate
ZNF350	ENST00000243644	0	0	41	0	4	0	8.3900e-01	NA	0	6	Moderate
C19orf67	ENST00000548523	0	0	10	0	4	0	9.5900e-01	NA	0	6	Moderate
BST1	ENST00000265016	1	0	28	8	18	8	1.3580e+00	NA	0	6	Moderate
KISS1R	ENST00000234371	0	0	15	0	11	0	6.4800e-01	NA	0	6	Moderate
NCR2	ENST00000373089	0	0	8	0	4	0	1.4380e+00	NA	0	6	Moderate
DEFB125	ENST00000382410	0	0	0	0	0	0	1.9360e+00	NA	0	0	Unknown
UBE2W	ENST00000419880	0	0	0	0	0	0	6.9900e-01	NA	0	0	Unknown
OR2T29	ENST00000328570	0	0	0	0	0	0	1.8760e+00	NA	0	1	Unknown
KRT15	ENST00000254043	27	0	532	241	7	0	1.5260e+00	NA	0	6	Moderate
C10orf99	ENST00000372126	0	0	16	5	7	0	1.4870e+00	NA	0	6	Moderate
SCN11A	ENST00000302328	0	0	33	8	5	0	8.2800e-01	NA	0	6	Moderate
GFI1	ENST00000370332	1	0	41	8	8	0	5.6100e-01	NA	0	6	Moderate
FHL1	ENST00000394155	0	0	18	0	5	0	2.7600e-01	NA	0	7	High
SMC6	ENST00000448223	1	0	30	8	4	8	4.8900e-01	NA	0	6	Moderate
OSGEP	ENST00000206542	1	0	55	18	8	0	1.0840e+00	NA	0	6	Moderate
GATA1	ENST00000376670	0	0	14	0	5	0	3.2100e-01	NA	0	7	High
LPIN3	ENST00000373257	0	0	10	0	3	0	8.6900e-01	NA	0	6	Moderate
RPL4	ENST00000307961	0	0	12	0	6	0	1.2000e-01	NA	0	7	High
RBPMS	ENST00000339877	0	0	27	0	10	0	2.7200e-01	NA	0	7	High
PRPF3	ENST00000324862	0	0	23	0	4	0	6.8000e-02	NA	0	7	High
EMR1	ENST00000312053	0	0	1	0	0	0	1.1170e+00	NA	0	2	Low
SPATA19	ENST00000299140	0	1	9	0	8	0	1.4910e+00	NA	0	3	Low
XCR1	ENST00000309285	3	0	49	26	6	5	1.0840e+00	NA	0	6	Moderate
IRX3	ENST00000329734	1	0	86	16	4	0	4.0900e-01	NA	0	6	Moderate
ELFN1	ENST00000424383	4	0	66	32	19	16	1.5300e-01	NA	0	7	High
RBM6	ENST00000266022	0	0	36	0	8	0	1.3600e-01	NA	0	7	High
CYSTM1	ENST00000261811	2	0	79	24	12	0	8.9900e-01	NA	0	6	Moderate
KLF4	ENST00000374672	1	0	47	8	8	0	1.7400e-01	NA	0	7	High
IFITM10	ENST00000340134	0	2	20	0	11	0	1.0340e+00	NA	0	3	Low
UNC5CL	ENST00000244565	0	0	12	0	4	0	1.2870e+00	NA	0	4	Low
C16orf71	ENST00000299320	3	0	62	37	12	13	1.5170e+00	NA	0	6	Moderate
BTK	ENST00000308731	1	0	26	5	8	5	1.0300e-01	3	0	8	High
KRCC1	ENST00000347055	3	1	59	40	8	0	1.2800e+00	NA	0	3	Low
SYTL5	ENST00000456733	1	0	61	5	4	0	6.4800e-01	NA	0	6	Moderate
PRND	ENST00000305817	0	0	11	0	5	0	1.6820e+00	NA	0	5	Low
PIGL	ENST00000225609	0	0	2	0	1	0	1.5060e+00	NA	0	8	High
MOB1B	ENST00000396051	1	0	23	8	3	0	8.7900e-01	NA	0	6	Moderate
HUS1	ENST00000258774	0	0	2	0	1	0	1.1230e+00	NA	0	6	Moderate
DNAJC30	ENST00000395176	0	0	4	0	0	0	1.4160e+00	NA	0	2	Low
HID1	ENST00000425042	0	0	5	0	4	0	4.7100e-01	NA	0	6	Moderate
UIMC1	ENST00000377227	0	1	13	8	7	0	6.5300e-01	NA	0	3	Low
